break_after_year,n,firms,term,coefficient_change,std_error,p_value
1998,29022,2908,aq_post,0.029017615910442274,0.14380475707321494,0.8400849553692047
1998,29022,2908,aq_over_i_post,-0.3757326398935655,0.19991406230796746,0.06018023881744122
1999,29022,2908,aq_post,-0.015592182919637524,0.12909182367935,0.9038623928982892
1999,29022,2908,aq_over_i_post,-0.3095802338099596,0.17698027406619413,0.0802502657240257
2000,29022,2908,aq_post,0.09785835957965626,0.12496733141641411,0.43358510775532544
2000,29022,2908,aq_over_i_post,-0.6260861078097683,0.1720235779744991,0.00027312911824961116
2001,29022,2908,aq_post,-0.0040018822953350915,0.11630464474514286,0.9725513099826759
2001,29022,2908,aq_over_i_post,-0.3990765758823933,0.1590613592979768,0.012109153153893057
2002,29022,2908,aq_post,-0.042579737113901374,0.11097327033579481,0.7012055332058718
2002,29022,2908,aq_over_i_post,-0.4004482235154566,0.14873426762542555,0.0070945411056380124
2003,29022,2908,aq_post,-0.15929206517290412,0.10325513379822433,0.12290271144831832
2003,29022,2908,aq_over_i_post,-0.11347182876110262,0.1342073962378883,0.3978339148576354
2004,29022,2908,aq_post,-0.25165093688289114,0.09833754929960703,0.010495793385348546
2004,29022,2908,aq_over_i_post,0.11066108729765474,0.12768295282033254,0.38611382225709723
2005,29022,2908,aq_post,-0.3265004515350371,0.09529593768494062,0.000612148394164956
2005,29022,2908,aq_over_i_post,0.24480862237482615,0.12221539756148411,0.04516746962809456
2006,29022,2908,aq_post,-0.2856848605986266,0.090894809515241,0.0016721028910386148
2006,29022,2908,aq_over_i_post,0.19144480703529565,0.11701346983923659,0.10182032506956165
