missing_item_policy,lane,period,term,coefficient,std_error,p_value
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,aq_history_reconstructed,0.2454508673917069,0.1754910764959997,0.16191749762101248
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,aq_over_i,-0.5171031703561115,0.3011165881784247,0.08592700813692285
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,over_i,0.0003685710893172038,0.004702331117056579,0.9375253802880488
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,log_assets,0.0032535185271707493,0.00044637587273497434,3.128627486963945e-13
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,mtb,0.006120368514196322,0.0019262003644560314,0.001485861042652297
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,tangibility,0.12191109133639778,0.007057387782068036,7.352108648217168e-67
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,cfo_sales_reconstructed,0.03933572563736179,0.012235024109006617,0.0013043994926121268
missing_as_zero_proxy_sensitivity,history_reconstructed,1986-2001,loss,-0.006369598136673002,0.0012423990387133523,2.946242449315412e-07
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,aq_history_reconstructed,0.07649716855293359,0.088424932400119,0.3869791906274136
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,aq_over_i,-0.14764654040889075,0.13464254292148237,0.2728243174354529
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,over_i,0.001769654024503201,0.002926116675694482,0.5453258243478094
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,log_assets,0.003276985232823858,0.0003224359285594986,2.893777401906124e-24
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,mtb,0.01198716856680947,0.001595569558158227,5.78832345665657e-14
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,tangibility,0.06011631660968557,0.004098380291117979,1.0287405593600474e-48
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,cfo_sales_reconstructed,0.01686705988182241,0.007390839942072303,0.022480050622488066
missing_as_zero_proxy_sensitivity,history_reconstructed,2002-2013,loss,-0.015925129382500125,0.0009750303141121793,5.752606070669453e-60
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,aq_history_reconstructed,-0.3794031815959684,0.09280915804508537,4.351214175336582e-05
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,aq_over_i,0.37606180177466747,0.13674649729631097,0.005958338337340387
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,over_i,0.0006245646416270529,0.0030084116042578164,0.8355365303173342
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,log_assets,0.0021790003942431216,0.00032735651609273653,2.8070638842360643e-11
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,mtb,0.007987161122632197,0.00082046165518634,2.1390253188489722e-22
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,tangibility,0.08614786783402553,0.004556531412796659,1.0091215781380843e-79
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,cfo_sales_reconstructed,0.039588855692796215,0.006533582077053637,1.3672537017041998e-09
missing_as_zero_proxy_sensitivity,history_reconstructed,2014-2024,loss,-0.014703903975607877,0.0011695786546933396,3.0113801646832026e-36
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,aq_cf_statement,0.0057314940411383394,0.06213797366864367,0.9265087984344845
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,aq_over_i,-0.07031922727242887,0.09866500247507369,0.4760271507714958
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,over_i,-0.0018603405752136955,0.0030799229248124798,0.545829151572812
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,log_assets,0.0034061854784257543,0.00033759032020900625,6.135596034268566e-24
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,mtb,0.012529332193933634,0.0017154930624640162,2.8009918417201826e-13
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,tangibility,0.05810600401034626,0.004563804010641047,3.9303506532828844e-37
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,cfo_sales_statement,0.03819561283641924,0.007986592245695054,1.7315693101781803e-06
missing_as_zero_proxy_sensitivity,cf_statement,2002-2013,loss,-0.014447134052367647,0.0011018875788400447,2.8384478787460847e-39
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,aq_cf_statement,-0.20325860209210833,0.061858198761710656,0.0010166440436889421
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,aq_over_i,0.20954435206412508,0.09840789738997183,0.03322573754051861
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,over_i,-0.0002868618237355066,0.00288614604720597,0.9208264853580564
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,log_assets,0.002058697816813727,0.00032725744049523487,3.159166799436226e-10
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,mtb,0.008329827683465298,0.0008261807963061852,6.613862534729729e-24
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,tangibility,0.08634845802888914,0.004707469986640546,3.7646786104881475e-75
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,cfo_sales_statement,0.03334993238431387,0.007359020099843468,5.847097541148771e-06
missing_as_zero_proxy_sensitivity,cf_statement,2014-2024,loss,-0.014640235295140426,0.001193645010854262,1.3935371758108257e-34
