year,n,basis_switch_breaks,cfo_reported,ppe,depreciation
1980,81,81,0,81,81
1981,89,8,0,89,88
1982,95,6,0,95,94
1983,109,14,0,109,108
1984,803,694,0,803,755
1985,914,116,0,914,864
1986,954,55,0,954,895
1987,981,63,0,981,917
1988,978,94,0,978,907
1989,1047,160,0,1047,956
1990,1168,169,0,1168,1046
1991,1280,139,0,1280,1195
1992,1349,94,0,1349,1277
1993,1411,86,0,1411,1338
1994,1493,98,0,1493,1418
1995,1801,339,0,1801,1679
1996,1972,193,0,1972,1820
1997,2074,139,0,2074,1917
1998,2191,146,1,2191,2107
1999,2263,126,20,2263,2172
2000,2563,353,2419,2563,2483
2001,2681,192,2681,2680,2681
2002,2749,166,2749,2749,2749
2003,2799,167,2799,2799,2799
2004,2831,158,2831,2831,2831
2005,2922,182,2922,2922,2922
2006,3017,208,3017,3017,3017
2007,3103,196,3102,3103,3102
2008,3093,126,3090,3091,3090
2009,3014,83,3011,3009,3013
2010,2905,69,2902,2900,2901
2011,2876,92,2872,2869,2869
2012,2847,102,2844,2842,2840
2013,2860,117,2859,2854,2857
2014,2881,114,2881,2874,2876
2015,2926,147,2924,2917,2919
2016,2949,142,2949,2941,2941
2017,2983,149,2981,2976,2971
2018,3040,154,3039,3034,3026
2019,3068,145,3068,3058,3056
2020,3142,151,3141,3121,3129
2021,3165,132,3164,3137,3146
2022,3204,147,3202,3169,3189
2023,3224,124,3222,3190,3204
2024,2263,44,2263,2247,2254
